"Topic","Question","Answer"
"Disease","Why are my tomato leaves turning yellow?","Tomato yellow leaf curl virus or nitrogen deficiency can cause yellowing. Check for whiteflies or apply nitrogen-rich fertilizer."
"Disease","How to treat potato early blight?","Use fungicides containing Mancozeb or Chlorothalonil. Remove infected leaves immediately."
"Fertilizer","What is the best fertilizer for wheat?","Wheat requires Nitrogen, Phosphorus, and Potassium (NPK) in a 4:2:1 ratio. Urea is good for top dressing."
"Pest","How to control Fall Armyworm in Maize?","Apply Emamectin Benzoate or Spinetoram when larvae are small. Use pheromone traps to monitor."
"Irrigation","How often should I water sugarcane?","Sugarcane needs frequent irrigation. In summer, irrigate every 7-10 days; in winter, every 15-20 days."
"General","What is the best time to sow cotton?","Cotton is best sown in April-May in North India and June-July in Central/South India."
"Scheme","What is PM Kisan Samman Nidhi?","It is a central scheme providing ₹6,000 per year to farmers in three installments of ₹2,000."
"Market","When is the best time to sell onions?","Onion prices usually peak in October-November. Store the Rabi harvest and sell during lean months."
"Tip","How to improve soil testing?","Collect soil samples from 5-6 spots in your field, mix them, and send 500g to a soil testing lab."
"Pest","Whiteflies on cotton solution?","Spray Neem oil or Acetamiprid. Install yellow sticky traps."
"Disease","Control rust in wheat?","Grow resistant varieties. Spray Propiconazole if symptoms appear."
"Fertilizer","Symptoms of Potassium deficiency?","Edges of older leaves turn yellow or brown (scorched appearance). Stems may become weak."
"General","Best crops for sandy soil?","Groundnut, Watermelon, Muskmelon, and Potato grow well in sandy loam soil."
"Scheme","How to apply for soil health card?","Visit your nearest Agriculture Department office or apply online at the Soil Health Card portal."
"Irrigation","Drip irrigation benefits?","Saves 30-50% water, reduces weed growth, and improves yield by delivering water directly to roots."
